id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,out,clearance,dribble,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,counterpress,duel,50_50,interception,foul_won,foul_committed,block,substitution,ball_recovery,injury_stoppage,related_events,location,goalkeeper,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,related_events_3,related_events_4,related_events_5,dribble_outcome_id,dribble_outcome_name,dribble_overrun,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
a702d713-e603-487f-b075-4bb44575434e,2322,2,00:13:25.160,58,25,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,3.3061,,65896276-9afe-48f8-8d29-0a1d9d2b740a,,3958.0,Pedro Eliezer Rodríguez Ledesma,17.0,Right Wing,80.3,74.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de817d59-64f7-46d7-aabe-918d94de82fa,70.5,66.8,e0384b13-32a4-41cd-aec5-52184ee3114f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65896276-9afe-48f8-8d29-0a1d9d2b740a,2323,2,00:13:25.391,58,25,17,Pressure,141,217,Barcelona,3,From Free Kick,221,Levante UD,3.653284,,a702d713-e603-487f-b075-4bb44575434e,,20494.0,Andreas Ivanschitz,12.0,Right Midfield,38.7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0384b13-32a4-41cd-aec5-52184ee3114f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0384b13-32a4-41cd-aec5-52184ee3114f,2324,2,00:13:28.466,58,28,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.6955,,3a7799f6-0b0e-4b4c-8ac7-bec1508eb34e,,3958.0,Pedro Eliezer Rodríguez Ledesma,17.0,Right Wing,70.5,66.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,16.800297,-2.2083452,1.0,Ground Pass,60.5,53.3,38.0,Left Foot,,,65896276-9afe-48f8-8d29-0a1d9d2b740a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a7799f6-0b0e-4b4c-8ac7-bec1508eb34e,2325,2,00:13:30.162,58,30,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,e0384b13-32a4-41cd-aec5-52184ee3114f,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,60.5,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcb7f5ae-d506-4245-8d3c-8f170155f6f4,2326,2,00:13:30.162,58,30,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.7077,,3a7799f6-0b0e-4b4c-8ac7-bec1508eb34e,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,60.5,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816057f0-0dc6-4642-a0f5-d462a0133698,60.0,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816057f0-0dc6-4642-a0f5-d462a0133698,2327,2,00:13:31.869,58,31,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.6755,,50a383e5-b771-4240-a626-0cfc39f4ac6b,,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,60.0,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,28.240574,-1.2389678,1.0,Ground Pass,69.2,26.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50a383e5-b771-4240-a626-0cfc39f4ac6b,2328,2,00:13:33.545,58,33,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,816057f0-0dc6-4642-a0f5-d462a0133698,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,69.2,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6895d48a-c008-4fa0-8966-1de21fdd157b,2329,2,00:13:33.545,58,33,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,0.7475,,50a383e5-b771-4240-a626-0cfc39f4ac6b,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,69.2,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa2c3cfd-3803-47e7-ad2c-d6b455b37e15,69.2,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa2c3cfd-3803-47e7-ad2c-d6b455b37e15,2330,2,00:13:34.292,58,34,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,0.9314,,75105533-f654-44cb-9533-99eebfdfdb6a,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,69.2,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508.0,Sandro Ramírez Castillo,9.963935,0.18164884,1.0,Ground Pass,79.0,28.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75105533-f654-44cb-9533-99eebfdfdb6a,2331,2,00:13:35.224,58,35,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,aa2c3cfd-3803-47e7-ad2c-d6b455b37e15,,3508.0,Sandro Ramírez Castillo,21.0,Left Wing,79.0,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50f06cbf-2296-4e81-917d-ae50d6daf435,2332,2,00:13:35.224,58,35,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,2.2015,,75105533-f654-44cb-9533-99eebfdfdb6a,,3508.0,Sandro Ramírez Castillo,21.0,Left Wing,79.0,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c17e4de5-8ab6-4d2d-a789-347d1c104099,78.2,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c17e4de5-8ab6-4d2d-a789-347d1c104099,2333,2,00:13:37.425,58,37,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.0874,,ff789ff1-4faf-40a9-aad5-8c0093580502,,3508.0,Sandro Ramírez Castillo,21.0,Left Wing,78.2,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503.0,Lionel Andrés Messi Cuccittini,11.261438,1.4012681,1.0,Ground Pass,80.1,45.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff789ff1-4faf-40a9-aad5-8c0093580502,2334,2,00:13:38.513,58,38,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,c17e4de5-8ab6-4d2d-a789-347d1c104099,,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,80.1,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b4c7a52-abfd-4eb1-8b0d-6c560a54cdae,2335,2,00:13:38.513,58,38,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.6091,,c6582cbd-6a0d-4339-9326-74e0188a2843,,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,80.1,45.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f6f37f89-131e-45f8-a8e1-5bf44d040334,89.0,47.4,ff789ff1-4faf-40a9-aad5-8c0093580502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6f37f89-131e-45f8-a8e1-5bf44d040334,2336,2,00:13:38.626,58,38,17,Pressure,141,217,Barcelona,3,From Free Kick,221,Levante UD,2.107547,,8b4c7a52-abfd-4eb1-8b0d-6c560a54cdae,,27122.0,Simão Mate,15.0,Left Center Midfield,39.3,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6582cbd-6a0d-4339-9326-74e0188a2843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6582cbd-6a0d-4339-9326-74e0188a2843,2337,2,00:13:40.122,58,40,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,2.2203,,8ec3a922-a99f-4f19-9107-97edc629c94f,,5503.0,Lionel Andrés Messi Cuccittini,23.0,Center Forward,89.0,47.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,25.262028,0.9399628,1.0,Ground Pass,103.9,67.8,38.0,Left Foot,,,f6f37f89-131e-45f8-a8e1-5bf44d040334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ec3a922-a99f-4f19-9107-97edc629c94f,2338,2,00:13:42.342,58,42,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,c6582cbd-6a0d-4339-9326-74e0188a2843,,5470.0,Ivan Rakitić,13.0,Right Center Midfield,103.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30becf70-67f4-4898-a937-b70745529269,2339,2,00:13:42.342,58,42,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.4956,,7a0bef35-fab3-4d26-931b-cc5378045280,,5470.0,Ivan Rakitić,13.0,Right Center Midfield,103.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ec3a922-a99f-4f19-9107-97edc629c94f,103.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a0bef35-fab3-4d26-931b-cc5378045280,2340,2,00:13:43.838,58,43,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.5115,,31a6ade0-f9fe-42dd-8bcf-9b1f4e951e4c,,5470.0,Ivan Rakitić,13.0,Right Center Midfield,103.9,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,19.079046,-2.4341035,1.0,Ground Pass,89.4,55.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31a6ade0-f9fe-42dd-8bcf-9b1f4e951e4c,2341,2,00:13:45.349,58,45,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,7a0bef35-fab3-4d26-931b-cc5378045280,,4324.0,Daniel Alves da Silva,2.0,Right Back,89.4,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3c465e5-d8a8-4864-96d7-87f488a7bd2d,2342,2,00:13:45.349,58,45,43,Carry,141,217,Barcelona,3,From Free Kick,217,Barcelona,0.5118,,31a6ade0-f9fe-42dd-8bcf-9b1f4e951e4c,,4324.0,Daniel Alves da Silva,2.0,Right Back,89.4,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65d30670-e206-4e87-8be7-da8d7b4ea4ef,89.4,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65d30670-e206-4e87-8be7-da8d7b4ea4ef,2343,2,00:13:45.861,58,45,30,Pass,141,217,Barcelona,3,From Free Kick,217,Barcelona,1.2793,,a68edade-488b-4dbf-a386-92f53bec927c,,4324.0,Daniel Alves da Silva,2.0,Right Back,89.4,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508.0,Sandro Ramírez Castillo,20.327322,-0.41522732,2.0,Low Pass,108.0,47.2,40.0,Right Foot,,,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a68edade-488b-4dbf-a386-92f53bec927c,2344,2,00:13:47.140,58,47,42,Ball Receipt*,141,217,Barcelona,3,From Free Kick,217,Barcelona,,,65d30670-e206-4e87-8be7-da8d7b4ea4ef,,3508.0,Sandro Ramírez Castillo,21.0,Left Wing,108.0,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c15ab2b-e6d5-46a2-9624-f213d278e011,2362,2,00:14:19.998,59,19,2,Ball Recovery,143,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,93553466-c280-4da4-a72a-3b583c6f7a09,,10609.0,Jérémy Mathieu,5.0,Left Center Back,41.5,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1df2848-94c3-4ff3-bbe8-389fcab08024,2363,2,00:14:19.998,59,19,43,Carry,143,217,Barcelona,1,Regular Play,217,Barcelona,0.7803,,1c15ab2b-e6d5-46a2-9624-f213d278e011,,10609.0,Jérémy Mathieu,5.0,Left Center Back,41.5,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e0f4451-f7eb-452d-a463-41373719faa0,42.9,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e0f4451-f7eb-452d-a463-41373719faa0,2364,2,00:14:20.778,59,20,30,Pass,143,217,Barcelona,1,Regular Play,217,Barcelona,1.0511,,b8eab368-9505-48ee-bb92-184b34298a94,,10609.0,Jérémy Mathieu,5.0,Left Center Back,42.9,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,12.520782,-0.8136392,1.0,Ground Pass,51.5,35.6,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3c21bcc-3d7e-4e8b-934d-de1e4251eada,2365,2,00:14:21.818,59,21,17,Pressure,143,217,Barcelona,1,Regular Play,221,Levante UD,2.757376,,0a9d0944-51a6-4984-8deb-63c07e58e022,,6867.0,Papa Kouly Diop,13.0,Right Center Midfield,64.8,43.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45b790c6-17dd-44e4-95e4-8492f33e4434,,,b8eab368-9505-48ee-bb92-184b34298a94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8eab368-9505-48ee-bb92-184b34298a94,2366,2,00:14:21.829,59,21,42,Ball Receipt*,143,217,Barcelona,1,Regular Play,217,Barcelona,,,1e0f4451-f7eb-452d-a463-41373719faa0,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,51.5,35.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c3c21bcc-3d7e-4e8b-934d-de1e4251eada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a9d0944-51a6-4984-8deb-63c07e58e022,2367,2,00:14:21.829,59,21,43,Carry,143,217,Barcelona,1,Regular Play,217,Barcelona,2.3675,,45b790c6-17dd-44e4-95e4-8492f33e4434,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,51.5,35.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8eab368-9505-48ee-bb92-184b34298a94,53.1,32.3,c3c21bcc-3d7e-4e8b-934d-de1e4251eada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45b790c6-17dd-44e4-95e4-8492f33e4434,2368,2,00:14:24.196,59,24,30,Pass,143,217,Barcelona,1,Regular Play,217,Barcelona,0.8098,,3df2351e-9b82-456e-a20d-52e28a5b3083,,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,53.1,32.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508.0,Sandro Ramírez Castillo,14.733974,0.06792256,2.0,Low Pass,67.8,33.3,38.0,Left Foot,,,c3c21bcc-3d7e-4e8b-934d-de1e4251eada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3df2351e-9b82-456e-a20d-52e28a5b3083,2369,2,00:14:25.006,59,25,42,Ball Receipt*,143,217,Barcelona,1,Regular Play,217,Barcelona,,,45b790c6-17dd-44e4-95e4-8492f33e4434,,3508.0,Sandro Ramírez Castillo,21.0,Left Wing,67.8,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
